Model,MAE,MSE,RMSE,R2 Score
LassoRegression,82657.94662172231,10549717660.356377,102711.81850379427,0.9146454830853386
LinearRegression,82657.946058922,10549721686.159279,102711.83810135655,0.9146454505138069
RidgeRegression,82659.67244409776,10549745186.670172,102711.95250149893,0.91464526037841
PolynomialRegression,84400.68816060046,11089450869.305367,105306.46166928868,0.9102786678969323
LGBM,92133.9888284538,13097708114.507051,114445.21883638063,0.8940304769478327
RandomForest,98567.46728058743,15072862489.461105,122771.58665367612,0.8780501111282238
ElasticNet,99126.80843102593,15081376466.559593,122806.25581198864,0.8779812271613102
XGBoost,102160.92081000573,15943249530.43311,126266.58120988747,0.8710080776063108
KNN,198086.23684543537,60395811313.31432,245755.59263893534,0.5113560889227768
ANN,199222.85850761,61423253673.14802,247837.1515191942,0.5030433691794978
HuberRegression,199465.55955429235,61664910393.24919,248324.20420339453,0.5010881990728202
SVM,282947.68758691323,123546565157.52672,351491.9133600753,0.0004227861838135283
SGDRegression,1.4102914151247122e+18,2.0246835144399702e+36,1.422913741039832e+18,-1.6381090835208655e+25
